=== 20220712 20:31 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
01:47 | 0220712/f_130 |  256 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (131 / 288)	 Replicas: 64000
02:08 | 0220712/f_131 |  256 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (132 / 288)	 Replicas: 4000
02:09 | 0220712/f_132 |  256 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (133 / 288)	 Replicas: 512000
04:55 | 0220712/f_133 |  256 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (134 / 288)	 Replicas: 256000
07:47 | 0220712/f_134 |  256 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (135 / 288)	 Replicas: 256000
09:13 | 0220712/f_135 |  256 |         0.05 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (136 / 288)	 Replicas: 128000
09:45 | 0220712/f_136 |  256 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (137 / 288)	 Replicas: 4000
09:46 | 0220712/f_137 |  256 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (138 / 288)	 Replicas: 32000
10:07 | 0220712/f_138 |  256 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (139 / 288)	 Replicas: 128000
10:48 | 0220712/f_139 |  256 |          0.1 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (140 / 288)	 Replicas: 16000
10:52 | 0220712/f_140 |  256 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (141 / 288)	 Replicas: 8000
10:54 | 0220712/f_141 |  256 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (142 / 288)	 Replicas: 8000
10:59 | 0220712/f_142 |  256 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (143 / 288)	 Replicas: 4000
11:00 | 0220712/f_143 |  256 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (144 / 288)	 Replicas: 256000
12:04 | 0220712/f_144 |  512 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (145 / 288)	 Replicas: 256000
18:09 | 0220712/f_145 |  512 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (146 / 288)	 Replicas: 128000
00:20 | 0220712/f_146 |  512 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (147 / 288)	 Replicas: 128000
03:24 | 0220712/f_147 |  512 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (148 / 288)	 Replicas: 256000
08:06 | 0220712/f_148 |  512 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (149 / 288)	 Replicas: 16000
08:28 | 0220712/f_149 |  512 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (150 / 288)	 Replicas: 512000
06:25 | 0220712/f_150 |  512 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (151 / 288)	 Replicas: 8000
06:35 | 0220712/f_151 |  512 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (152 / 288)	 Replicas: 1024000
23:41 | 0220712/f_152 |  512 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (153 / 288)	 Replicas: 8000
23:50 | 0220712/f_153 |  512 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (154 / 288)	 Replicas: 64000
02:17 | 0220712/f_154 |  512 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (155 / 288)	 Replicas: 64000
03:36 | 0220712/f_155 |  512 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (156 / 288)	 Replicas: 16000
03:52 | 0220712/f_156 |  512 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (157 / 288)	 Replicas: 128000
06:36 | 0220712/f_157 |  512 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (158 / 288)	 Replicas: 8000
06:57 | 0220712/f_158 |  512 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (159 / 288)	 Replicas: 4000
07:02 | 0220712/f_159 |  512 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (160 / 288)	 Replicas: 16000
07:19 | 0220712/f_160 |  512 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (161 / 288)	 Replicas: 4000
